"Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999"
"Stuart Dallas,nir NIR,MFDF,29,37.9,89,2.35,75,3,4,4,1,2,7,0.18,7,0,0,0,0,0,Matches,67ca8566"
"Luke Ayling,eng ENG,DF,28,37.8,52,1.38,43,2,3,1,3,0,4,0.11,4,0,0,0,0,0,Matches,420d7c7d"
"Patrick Bamford,eng ENG,FW,26,33.9,65,1.92,46,0,5,10,4,0,16,0.47,9,0,2,2,3,0,Matches,93feac6e"
"Illan Meslier,fr FRA,GK,20,35.0,7,0.20,4,2,0,0,1,0,1,0.03,1,0,0,0,0,0,Matches,6b625ac2"
"Jack Harrison,eng ENG,MFFW,23,31.6,117,3.70,96,8,5,7,1,0,15,0.47,12,1,2,0,0,0,Matches,aa849a12"
"Ezgjan Alioski,mk MKD,DFMF,28,27.3,71,2.60,57,5,0,5,3,1,5,0.18,3,1,0,1,0,0,Matches,1a7fcf39"
"Kalvin Phillips,eng ENG,MF,24,27.0,70,2.59,41,21,2,2,1,3,2,0.07,2,0,0,0,0,0,Matches,4f565d77"
"Mateusz Klich,pl POL,MF,30,26.6,107,4.02,92,6,1,6,2,0,15,0.56,13,1,1,0,0,0,Matches,282679b4"
"Raphinha,br BRA,MFFW,23,26.2,120,4.58,68,26,14,7,4,1,15,0.57,8,3,2,2,0,0,Matches,3423f250"
"Liam Cooper,sct SCO,DF,28,24.3,17,0.70,13,0,0,3,0,1,2,0.08,2,0,0,0,0,0,Matches,dc64b8b3"
"Pascal Struijk,nl NED,DFMF,20,23.1,15,0.65,14,0,0,1,0,0,2,0.09,2,0,0,0,0,0,Matches,f4d296e4"
"Tyler Roberts,wls WAL,MFFW,21,14.9,39,2.62,29,0,3,1,6,0,2,0.13,2,0,0,0,0,0,Matches,6c17e046"
"Rodrigo,es ESP,MFFW,29,14.3,68,4.75,52,0,4,8,2,2,8,0.56,4,0,1,3,0,0,Matches,1fb1c435"
"Diego Llorente,es ESP,DF,26,13.4,7,0.52,6,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches,bba30585"
"Hélder Costa,ao ANG,MFFW,26,12.8,19,1.48,14,0,2,1,2,0,6,0.47,5,0,0,0,1,0,Matches,f13d02a6"
"Robin Koch,de GER,DFMF,24,12.6,11,0.87,11,0,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches,ea6bc03a"
"Jamie Shackleton,eng ENG,MFDF,20,5.1,8,1.56,8,0,0,0,0,0,1,0.20,1,0,0,0,0,0,Matches,8d03ca5a"
"Pablo Hernández,es ESP,MF,35,4.7,29,6.13,21,0,1,5,1,1,4,0.85,3,0,0,0,1,0,Matches,c0398aca"
"Kiko Casilla,es ESP,GK,33,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,58bc7d18"
"Gaetano Berardi,ch SUI,DF,31,1.3,1,0.80,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,5348aada"
"Ian Carlo Poveda,eng ENG,MF,20,3.9,9,2.28,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,55b4f1d6"
"Niall Huggins,wls WAL,DF,19,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6d646ff7"
"Leif Davis,eng ENG,DF,20,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8574c61f"
"Squad Total,,,26.1,38.0,924,24.32,701,73,45,63,31,11,108,2.84,81,6,8,8,5,0,,-9999"
