"Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999"
"Aaron Ramsdale,eng ENG,GK,22,38.0,8,0.21,6,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,466fb2c5"
"George Baldock,gr GRE,DF,27,31.0,35,1.13,30,1,1,3,0,0,2,0.06,1,0,0,1,0,0,Matches,394854c4"
"Chris Basham,eng ENG,DFMF,32,28.6,25,0.87,19,1,3,0,2,0,2,0.07,0,1,1,0,0,0,Matches,1aa84968"
"Enda Stevens,ie IRL,DF,30,30.0,39,1.30,36,0,0,1,2,0,4,0.13,3,0,0,0,1,0,Matches,17d4507a"
"John Egan,ie IRL,DF,27,29.2,16,0.55,15,0,0,0,0,1,1,0.03,1,0,0,0,0,0,Matches,debe38a0"
"John Fleck,sct SCO,MF,28,28.6,72,2.52,51,15,2,2,2,0,3,0.10,2,1,0,0,0,0,Matches,b63e789d"
"David McGoldrick,ie IRL,FWMF,32,26.6,58,2.18,37,2,8,5,4,2,1,0.04,1,0,0,0,0,0,Matches,dbe56a33"
"Oliver Norwood,nir NIR,MF,29,24.7,54,2.19,39,14,0,0,0,1,1,0.04,1,0,0,0,0,0,Matches,43439614"
"Ethan Ampadu,wls WAL,DFMF,19,23.2,20,0.86,17,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,10b9fa99"
"John Lundstram,eng ENG,MF,26,22.6,50,2.21,41,5,1,1,2,0,5,0.22,4,1,0,0,0,0,Matches,0df2b165"
"Ben Osborn,eng ENG,MFDF,25,17.8,34,1.91,30,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,79bc4c45"
"Oliver Burke,sct SCO,FW,23,14.1,26,1.85,18,0,4,3,0,1,1,0.07,1,0,0,0,0,0,Matches,f631c17f"
"Sander Berge,no NOR,MF,22,12.4,23,1.85,20,0,2,1,0,0,1,0.08,0,0,0,1,0,0,Matches,d0b6129f"
"Oliver McBurnie,sct SCO,FW,24,14.7,31,2.11,23,0,0,5,3,0,2,0.14,0,0,0,1,1,0,Matches,78b8ac63"
"Rhian Brewster,eng ENG,FWMF,20,12.5,23,1.83,16,0,0,4,3,0,0,0.00,0,0,0,0,0,0,Matches,30e81a88"
"Jayden Bogle,eng ENG,DFMF,20,12.3,12,0.97,7,2,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches,ae5019e6"
"Kean Bryan,eng ENG,DF,23,11.2,7,0.63,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c684d3c9"
"Jack Robinson,eng ENG,DF,26,9.7,9,0.92,6,0,1,1,1,0,4,0.41,2,0,1,0,1,0,Matches,7399c7a8"
"Billy Sharp,eng ENG,FW,34,8.2,6,0.73,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e8c9f4e9"
"Max Lowe,eng ENG,DF,23,6.1,8,1.31,4,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches,7af88b33"
"Phil Jagielka,eng ENG,DF,37,5.8,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3233eefd"
"Daniel Jebbison,eng ENG,FW,17,3.2,3,0.95,1,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,03edb878"
"Lys Mousset,fr FRA,FWMF,24,3.3,6,1.82,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d9cfca3d"
"Jack O'Connell,eng ENG,DF,26,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,312626c1"
"Iliman Ndiaye,sn SEN,MF,20,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,5ed97752"
"Antwoine Hackford,eng ENG,DF,16,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a7588cdc"
"Femi Seriki,eng ENG,MF,18,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e4e0deaa"
"Squad Total,,,26.7,38.0,566,14.89,435,48,27,28,23,5,27,0.71,16,3,2,3,3,0,,-9999"
