"Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999"
"George Baldock,gr GRE,DF,26,38.0,7,0,0,47,44,11,128,34,43,1,0,0,167,38,57,40.0,Matches,394854c4"
"Enda Stevens,ie IRL,DF,29,37.2,7,0,0,39,19,2,123,35,46,0,0,0,226,31,31,50.0,Matches,17d4507a"
"Chris Basham,eng ENG,DF,31,36.0,4,0,0,26,31,5,51,77,48,0,1,0,188,107,62,63.3,Matches,1aa84968"
"Oliver Norwood,nir NIR,MF,28,34.3,8,0,0,32,16,1,198,47,37,0,1,0,275,44,29,60.3,Matches,43439614"
"Dean Henderson,eng ENG,GK,22,36.0,2,0,0,0,2,0,0,1,0,0,0,0,23,16,0,100.0,Matches,e5a76dfe"
"John Egan,ie IRL,DF,26,35.4,5,1,1,34,20,1,2,58,27,0,1,0,177,133,77,63.3,Matches,debe38a0"
"Jack O'Connell,eng ENG,DF,25,32.4,4,0,0,22,17,2,51,42,14,0,0,0,184,133,63,67.9,Matches,312626c1"
"John Fleck,sct SCO,MF,27,28.0,8,0,0,25,22,1,149,24,25,0,0,0,169,13,23,36.1,Matches,b63e789d"
"John Lundstram,eng ENG,MF,25,27.3,5,0,0,27,12,7,55,33,30,0,0,0,157,23,33,41.1,Matches,0df2b165"
"Oliver McBurnie,sct SCO,FW,23,23.5,4,0,0,28,28,5,9,15,22,0,0,0,91,197,193,50.5,Matches,78b8ac63"
"David McGoldrick,ie IRL,FW,31,20.2,2,0,0,30,18,12,8,3,26,0,0,0,77,85,125,40.5,Matches,dbe56a33"
"Sander Berge,no NOR,MF,21,10.5,0,0,0,18,5,1,22,10,15,0,0,0,56,35,16,68.6,Matches,d0b6129f"
"Lys Mousset,fr FRA,FW,23,13.8,1,0,0,24,14,16,4,4,5,0,0,0,47,22,70,23.9,Matches,d9cfca3d"
"Billy Sharp,eng ENG,FW,33,11.7,1,1,0,20,32,11,11,1,5,0,0,0,45,19,39,32.8,Matches,e8c9f4e9"
"Callum Robinson,ie IRL,FWMF,24,7.5,1,0,0,11,4,1,15,7,3,0,0,0,28,4,19,17.4,Matches,e75750a3"
"Ben Osborn,eng ENG,MFDF,24,6.6,0,0,0,9,6,1,16,6,10,0,0,0,43,6,9,40.0,Matches,79bc4c45"
"Jack Robinson,eng ENG,DF,25,5.6,0,0,0,4,4,1,6,8,5,0,0,0,30,14,9,60.9,Matches,7399c7a8"
"Luke Freeman,eng ENG,MF,27,4.1,2,0,0,6,5,0,15,10,4,0,0,0,20,4,6,40.0,Matches,636b64cd"
"Muhamed Bešić,ba BIH,MF,26,2.8,2,0,0,6,2,0,1,1,6,0,0,0,17,5,3,62.5,Matches,7ca9f0f0"
"Phil Jagielka,eng ENG,DF,36,2.7,0,0,0,1,4,0,1,4,4,0,0,0,16,15,4,78.9,Matches,3233eefd"
"Simon Moore,eng ENG,GK,29,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,e7434f04"
"Richairo Živković,nl NED,FW,22,1.2,0,0,0,1,1,0,1,0,2,0,0,0,4,0,12,0.0,Matches,d2d74d9c"
"Leon Clarke,eng ENG,FWMF,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,40.0,Matches,91c975a0"
"Jack Rodwell,eng ENG,MF,28,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches,a07579ee"
"Ravel Morrison,jm JAM,MF,26,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,bf59c794"
"Kieron Freeman,wls WAL,FW,27,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches,c13c24c8"
"Squad Total,,,26.9,38.0,63,2,1,412,306,78,866,420,377,1,3,0,2041,946,886,51.6,,-9999"
