"Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999"
"Christopher Schindler,de GER,DF,28,36.2,5,1,1,26,18,0,0,70,36,0,1,0,122,136,108,55.7,Matches,8ae9869d"
"Terence Kongolo,nl NED,DF,24,30.2,4,0,0,20,25,2,28,65,46,0,1,1,121,53,35,60.2,Matches,1f9a3a04"
"Jonas Lössl,dk DEN,GK,29,30.9,1,0,0,0,3,0,0,2,0,0,0,0,41,13,5,72.2,Matches,939bc634"
"Jonathan Hogg,eng ENG,MF,29,26.3,8,1,0,58,35,1,6,73,41,0,0,0,234,31,33,48.4,Matches,9306d5ea"
"Alex Pritchard,eng ENG,MFFW,25,23.1,2,0,0,13,51,7,78,17,24,0,0,0,127,14,35,28.6,Matches,ff9fcd4d"
"Aaron Mooy,au AUS,MFFW,27,25.9,4,0,0,26,12,1,137,14,42,0,0,0,203,14,26,35.0,Matches,47b7e3af"
"Philip Billing,dk DEN,MF,22,24.3,7,0,0,37,30,2,56,53,44,0,1,0,174,86,28,75.4,Matches,d328a254"
"Mathias Jørgensen,dk DEN,DF,28,23.9,6,0,0,33,14,0,4,69,31,0,1,0,152,36,51,41.4,Matches,0db5d2c8"
"Chris Löwe,de GER,DFMF,29,22.9,2,0,0,14,13,2,140,23,18,0,1,0,98,23,33,41.1,Matches,c6896eab"
"Erik Durm,de GER,DF,26,22.8,0,0,0,13,22,1,65,41,22,0,0,0,136,22,36,37.9,Matches,cf623c78"
"Florent Hadergjonaj,xk KVX,DFMF,24,20.5,1,0,0,11,19,2,91,21,17,0,1,0,106,22,22,50.0,Matches,9aa186b2"
"Steve Mounié,bj BEN,FW,23,19.8,1,1,0,32,15,15,9,5,6,0,0,0,56,210,131,61.6,Matches,19ba6c6d"
"Juninho Bacuna,cw CUW,MFDF,20,15.7,4,0,0,33,22,1,34,24,29,0,1,0,121,17,21,44.7,Matches,aaf1bf05"
"Elias Kachunga,cd COD,FWMF,26,13.1,2,0,0,24,21,9,15,4,9,0,1,0,43,23,29,44.2,Matches,5bddccc9"
"Tommy Smith,eng ENG,DF,26,12.7,2,1,0,10,6,0,24,18,13,0,0,0,65,14,14,50.0,Matches,e9208654"
"Laurent Depoitre,be BEL,FW,29,11.9,1,0,0,19,9,7,4,2,4,0,0,0,30,80,89,47.3,Matches,aa5859cb"
"Isaac Mbenza,be BEL,FWMF,22,11.0,1,0,0,8,5,5,34,5,9,0,0,0,52,2,10,16.7,Matches,aa1a8c7e"
"Karlan Grant,eng ENG,FW,20,9.7,0,0,0,8,8,4,9,2,2,1,0,0,38,10,49,16.9,Matches,87f7500e"
"Jon Gorenc Stanković,si SVN,MFDF,22,7.9,2,0,0,9,12,0,0,9,18,0,0,0,38,19,15,55.9,Matches,9c74fa25"
"Ben Hamer,eng ENG,GK,30,6.1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,100.0,Matches,d822a850"
"Adama Diakhaby,fr FRA,FWMF,22,6.1,1,0,0,7,9,2,14,1,3,0,0,0,24,6,15,28.6,Matches,65585e3a"
"Rajiv van La Parra,nl NED,FWMF,27,4.5,0,0,0,4,14,0,6,4,5,0,0,0,33,1,7,12.5,Matches,1931bde9"
"Jason Puncheon,eng ENG,MF,32,4.2,1,0,0,9,2,1,9,3,4,0,0,0,21,6,6,50.0,Matches,fd3f57ce"
"Danny Williams,us USA,MF,29,1.1,1,0,0,2,1,0,0,1,0,0,0,0,7,0,2,0.0,Matches,ec9a28ce"
"Joel Coleman,eng ENG,GK,22,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,b73e459a"
"Aaron Rowe,eng ENG,FW,17,0.8,0,0,0,2,0,0,0,1,0,0,1,0,3,0,2,0.0,Matches,4b6bcb0d"
"Abdelhamid Sabiri,ma MAR,FW,21,0.5,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,0.0,Matches,4830e0af"
"Demeaco Duhaney,eng ENG,DF,19,0.5,0,0,0,0,2,0,2,1,0,0,0,0,2,0,1,0.0,Matches,5ef608f7"
"Ramadan Sobhi,eg EGY,FWMF,21,0.9,0,0,0,0,1,0,3,1,1,0,0,0,8,3,1,75.0,Matches,98be0d02"
"Matty Daly,eng ENG,MF,17,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches,03e48abb"
"Collin Quaner,de GER,FW,27,0.4,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0.0,Matches,19b8b0b9"
"Squad Total,,,26.2,38.0,56,4,1,420,370,63,768,531,425,1,9,1,2063,844,807,51.1,,-9999"
