Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per90Gls,Per90Ast,Per90G+A,Per90G-PK,Per90G+A-PK,xG,npxG,xA,npxG+xAG,Per90xG,Per90xA,Per90xG+xA,Per90npxG,Per90npxG+xAG
Conor Coady,eng ENG,DF,26,38,38,3420,38.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.01,0.01,0.00,0.01
Rui Patrício,pt POR,GK,31,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Raúl Jiménez,mx MEX,FW,28,38,37,3236,36.0,17,6,13,4,4,3,0,0.47,0.17,0.64,0.36,0.53,16.6,13.4,7.0,20.4,0.46,0.19,0.65,0.37,0.57
Rúben Neves,pt POR,MF,22,38,35,3056,34.0,2,2,2,0,0,9,0,0.06,0.06,0.12,0.06,0.12,2.0,2.0,2.2,4.2,0.06,0.06,0.12,0.06,0.12
João Moutinho,pt POR,MF,32,38,34,3108,34.5,1,6,1,0,0,7,0,0.03,0.17,0.20,0.03,0.20,0.9,0.9,7.9,8.8,0.03,0.23,0.26,0.03,0.26
Jonny Castro,es ESP,MFDF,25,35,33,2887,32.1,2,2,2,0,0,4,0,0.06,0.06,0.12,0.06,0.12,1.6,1.6,1.3,2.8,0.05,0.04,0.09,0.05,0.09
Matt Doherty,ie IRL,MFDF,27,36,32,2839,31.5,4,3,4,0,0,1,0,0.13,0.10,0.22,0.13,0.22,6.9,6.9,2.2,9.1,0.22,0.07,0.29,0.22,0.29
Leander Dendoncker,be BEL,MFDF,24,38,32,2795,31.1,4,0,4,0,0,5,0,0.13,0.00,0.13,0.13,0.13,1.8,1.8,0.7,2.5,0.06,0.02,0.08,0.06,0.08
Romain Saïss,ma MAR,DF,29,33,31,2705,30.1,2,1,2,0,0,12,1,0.07,0.03,0.10,0.07,0.10,3.4,3.4,1.3,4.8,0.11,0.04,0.16,0.11,0.16
Adama Traoré,es ESP,FWDF,23,37,27,2605,28.9,4,9,4,0,0,1,0,0.14,0.31,0.45,0.14,0.45,3.8,3.8,6.6,10.4,0.13,0.23,0.36,0.13,0.36
Diogo Jota,pt POR,FW,22,34,27,2284,25.4,7,1,7,0,0,4,0,0.28,0.04,0.32,0.28,0.32,11.5,11.5,2.7,14.2,0.45,0.11,0.56,0.45,0.56
Willy Boly,ci CIV,DF,28,22,22,1979,22.0,0,1,0,0,0,3,1,0.00,0.05,0.05,0.00,0.05,0.4,0.4,1.1,1.5,0.02,0.05,0.07,0.02,0.07
Pedro Neto,pt POR,FWMF,19,29,9,939,10.4,3,3,3,0,0,3,0,0.29,0.29,0.58,0.29,0.58,2.2,2.2,2.6,4.8,0.21,0.25,0.46,0.21,0.46
Ryan Bennett,eng ENG,DF,29,11,7,606,6.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02
Rúben Vinagre,pt POR,MFDF,20,16,6,652,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.9,0.04,0.08,0.12,0.04,0.12
