"Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999"
"Conor Coady,eng ENG,DF,25,38,3420,90,100.0,38.0,38,90,38,0,,0,1.50,47,46,+1,+0.03,,52.1,42.1,+10.1,+0.26,,Matches,2928dca2"
"Rui Patrício,pt POR,GK,30,37,3329,90,97.3,37.0,37,90,36,0,,0,1.46,45,46,-1,-0.03,-2.01,49.3,41.5,+7.8,+0.21,-2.00,Matches,79b0d6a0"
"Willy Boly,ci CIV,DF,27,36,3167,88,92.6,35.2,36,88,34,0,,0,1.42,40,41,-1,-0.03,-0.74,47.9,38.0,+9.9,+0.28,+0.23,Matches,a4ac4b8f"
"Raúl Jiménez,mx MEX,FW,27,38,3111,82,91.0,34.6,36,85,20,2,31,0,1.50,44,40,+4,+0.12,+0.99,47.0,37.6,+9.3,+0.27,+0.05,Matches,b561db50"
"Matt Doherty,ie IRL,DFMF,26,38,3144,83,91.9,34.9,35,87,29,3,30,0,1.50,41,41,0,0.00,-0.33,46.0,38.2,+7.9,+0.23,-0.48,Matches,d557d734"
"João Moutinho,pt POR,MF,31,38,3032,80,88.7,33.7,35,85,24,3,21,0,1.50,41,39,+2,+0.06,+0.29,44.7,36.8,+7.9,+0.23,-0.28,Matches,f5a00fa4"
"Ryan Bennett,eng ENG,DF,28,34,3060,90,89.5,34.0,34,90,34,0,,2,1.65,44,38,+6,+0.18,+1.43,49.5,36.5,+13.0,+0.38,+1.12,Matches,0bad4516"
"Rúben Neves,pt POR,MF,21,35,3007,86,87.9,33.4,34,88,31,1,17,2,1.43,41,43,-2,-0.06,-0.71,45.9,36.7,+9.2,+0.28,+0.10,Matches,44bfb6c5"
"Jonny Castro,es ESP,DFMF,24,33,2771,84,81.0,30.8,32,86,22,1,14,1,1.45,37,39,-2,-0.06,-0.48,39.1,34.3,+4.8,+0.16,-0.57,Matches,e28868f3"
"Diogo Jota,pt POR,FWMF,21,33,2355,71,68.9,26.2,29,78,9,4,24,0,1.61,32,29,+3,+0.11,+0.28,35.1,27.1,+8.0,+0.31,+0.13,Matches,178ae8f8"
"Leander Dendoncker,be BEL,MF,23,19,1467,77,42.9,16.3,17,85,13,2,13,8,1.79,22,21,+1,+0.06,+0.06,22.4,20.4,+2.0,+0.12,-0.25,Matches,5a7301ae"
"Hélder Costa,ao ANG,FWMF,24,25,1341,54,39.2,14.9,16,72,2,9,21,13,1.32,16,19,-3,-0.20,-0.37,18.6,14.0,+4.5,+0.30,+0.07,Matches,f13d02a6"
"Romain Saïss,ma MAR,MFDF,28,19,1149,60,33.6,12.8,12,87,10,7,16,15,1.63,18,17,+1,+0.08,+0.08,15.6,15.5,+0.1,+0.01,-0.38,Matches,9fbbcf39"
"Adama Traoré,es ESP,FWMF,22,29,902,31,26.4,10.0,8,65,0,21,18,8,1.21,9,13,-4,-0.40,-0.58,14.4,12.2,+2.3,+0.23,-0.05,Matches,9a28eba4"
"Rúben Vinagre,pt POR,DFMF,19,17,710,42,20.8,7.9,7,85,4,10,11,19,1.65,14,9,+5,+0.63,+0.77,13.8,9.1,+4.8,+0.60,+0.43,Matches,b937e490"
"Ivan Cavaleiro,pt POR,FWMF,24,23,693,30,20.3,7.7,6,68,0,17,17,9,1.48,10,11,-1,-0.13,-0.20,11.4,9.0,+2.4,+0.31,+0.06,Matches,979b811d"
"Morgan Gibbs-White,eng ENG,MFFW,18,26,663,26,19.4,7.4,5,72,0,21,14,10,1.38,10,12,-2,-0.27,-0.37,12.7,10.5,+2.2,+0.29,+0.04,Matches,32f60ed8"
"John Ruddy,eng ENG,GK,31,1,90,90,2.6,1.0,1,90,1,0,,36,3.00,2,0,+2,+2.00,+2.03,2.8,0.6,+2.2,+2.24,+2.03,Matches,da8b19e2"
"Léo Bonatini,br BRA,FW,24,7,135,19,3.9,1.5,0,,0,7,18,12,1.43,4,0,+4,+2.67,+2.75,5.1,0.8,+4.2,+2.83,+2.67,Matches,da23d58d"
"Max Kilman,eng ENG,DF,21,1,1,1,0.0,0.0,0,,0,1,0,5,3.00,0,0,0,0.00,-0.03,0.0,0.0,0.0,0.00,-0.26,Matches,d0f72bf1"
"Will Norris,eng ENG,GK,24,1,1,1,0.0,0.0,0,,0,1,0,1,3.00,0,0,0,0.00,-0.03,0.0,0.0,0.0,0.00,-0.26,Matches,c73ada83"
"Bright Enobakhare,ng NGA,FWMF,20,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,dccefdd4"
"Kortney Hause,eng ENG,DF,23,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches,bf8fad51"
"Cameron John,eng ENG,DF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,6c753e99"
"Ryan John Giles,eng ENG,DFMF,18,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,73b1d65b"
"Squad Total,,,26.1,38,3420,90,100,38.0,418,85,,110,17,156,1.50,47,46,+1,+0.03,,52.1,42.1,+10.1,+0.26,,,-9999"
