"Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999"
"Lewis Dunk,eng ENG,DF,25,38,3420,90,100.0,38.0,38,,38,0,,0,1.05,34,54,-20,-0.53,,37.0,50.8,-13.8,-0.36,,Matches,282f75f3"
"Mathew Ryan,au AUS,GK,25,38,3420,90,100.0,38.0,38,,38,0,,0,1.05,34,54,-20,-0.53,,37.0,50.8,-13.8,-0.36,,Matches,4535e4bb"
"Shane Duffy,ie IRL,DF,25,37,3292,89,96.3,36.6,37,,35,0,,0,1.00,32,52,-20,-0.55,-0.55,35.1,48.2,-13.1,-0.36,+0.07,Matches,7314bba4"
"Dale Stephens,eng ENG,MF,28,36,3240,90,94.7,36.0,36,,36,0,,0,1.11,34,50,-16,-0.44,+1.56,34.9,48.1,-13.2,-0.37,-0.06,Matches,653ee42d"
"Davy Pröpper,nl NED,MF,25,35,3119,89,91.2,34.7,35,,33,0,,0,1.09,31,50,-19,-0.55,-0.25,33.8,45.4,-11.6,-0.33,+0.31,Matches,fdd85f94"
"Pascal Groß,de GER,FWMF,26,38,2928,77,85.6,32.5,35,,11,3,,0,1.05,34,46,-12,-0.37,+1.09,34.0,40.1,-6.0,-0.19,+1.23,Matches,8aec0537"
"Anthony Knockaert,fr FRA,MFFW,25,33,2421,73,70.8,26.9,27,,16,6,,1,1.15,28,29,-1,-0.04,+1.67,26.5,30.9,-4.4,-0.16,+0.68,Matches,6c679c6d"
"Gaëtan Bong,cm CMR,DF,29,25,2236,89,65.4,24.8,25,,23,0,,2,1.08,25,36,-11,-0.44,+0.24,26.4,31.3,-4.9,-0.20,+0.48,Matches,cfd5e123"
"Glenn Murray,eng ENG,FW,33,35,2192,63,64.1,24.4,25,,10,10,,1,1.03,25,36,-11,-0.45,+0.21,26.3,29.0,-2.7,-0.11,+0.70,Matches,f2f29dda"
"Bruno,es ESP,DF,36,25,2016,81,58.9,22.4,23,,19,2,,10,1.24,16,23,-7,-0.31,+0.52,18.6,28.6,-10.1,-0.45,-0.21,Matches,78803d03"
"José Izquierdo,co COL,MFFW,25,32,1984,62,58.0,22.0,23,,11,9,,3,1.03,26,32,-6,-0.27,+0.61,25.6,29.4,-3.8,-0.17,+0.45,Matches,ca2bc3df"
"Solly March,eng ENG,MFFW,23,36,1851,51,54.1,20.6,18,,10,18,,2,1.08,11,29,-18,-0.88,-0.76,16.8,28.3,-11.5,-0.56,-0.43,Matches,bb5fbd2b"
"Ezequiel Schelotto,it ITA,DF,28,20,1318,66,38.5,14.6,15,,12,5,,14,0.90,16,30,-14,-0.96,-0.70,17.3,21.2,-4.0,-0.27,+0.15,Matches,a6e316c1"
"Markus Suttner,at AUT,DF,30,14,1179,84,34.5,13.1,13,,13,1,,8,0.93,9,18,-9,-0.69,-0.25,10.6,19.4,-8.9,-0.68,-0.48,Matches,7391c2d9"
"Tomer Hemed,il ISR,FW,30,16,849,53,24.8,9.4,9,,3,7,,6,1.00,6,8,-2,-0.21,+0.42,6.8,11.3,-4.5,-0.47,-0.15,Matches,27d7453c"
"Beram Kayal,il ISR,MF,29,19,745,39,21.8,8.3,8,,3,11,,7,1.05,3,14,-11,-1.33,-1.03,6.5,14.7,-8.2,-0.99,-0.80,Matches,26679cdf"
"Izzy Brown,eng ENG,MFFW,20,13,311,24,9.1,3.5,4,,0,9,,2,0.92,1,8,-7,-2.03,-1.65,2.6,7.7,-5.1,-1.47,-1.22,Matches,bf54c8cc"
"Jürgen Locadia,nl NED,FWMF,23,6,224,37,6.5,2.5,3,,0,3,,6,0.50,3,8,-5,-2.01,-1.59,3.3,5.6,-2.3,-0.94,-0.62,Matches,6cc47ae1"
"Leonardo Ulloa,ar ARG,FW,31,10,267,27,7.8,3.0,2,,0,8,,3,1.10,2,3,-1,-0.34,+0.21,3.0,5.3,-2.3,-0.78,-0.46,Matches,eed56f6c"
"Connor Goldson,eng ENG,DF,24,3,200,67,5.8,2.2,2,,2,1,,28,1.00,1,5,-4,-1.80,-1.35,2.0,2.9,-0.9,-0.42,-0.06,Matches,56f6f826"
"Jamie Murphy,sct SCO,MF,27,4,168,42,4.9,1.9,1,,1,3,,2,1.00,0,4,-4,-2.14,-1.70,0.5,4.1,-3.6,-1.92,-1.64,Matches,6c96b263"
"Liam Rosenior,eng ENG,DF,33,3,164,55,4.8,1.8,1,,1,2,,5,1.33,2,3,-1,-0.55,-0.02,1.5,2.3,-0.8,-0.45,-0.09,Matches,8b0d6fe9"
"Sam Baldock,eng ENG,FW,28,2,32,16,0.9,0.4,0,,0,2,,10,0.00,0,1,-1,-2.81,-2.31,0.3,1.1,-0.8,-2.37,-2.03,Matches,9d597f08"
"Uwe Hünemeier,de GER,DF,31,1,18,18,0.5,0.2,0,,0,1,,9,1.00,1,1,0,0.00,+0.53,0.8,1.0,-0.2,-0.76,-0.40,Matches,f42456eb"
"Tim Krul,nl NED,GK,29,0,,,,,0,,0,0,,33,,,,,,,,,,,,Matches,f23f9d20"
"Niki Mäenpää,fi FIN,GK,32,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,14a96e1c"
"Jayson Molumby,ie IRL,MF,17,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,c908a1bc"
