"Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999"
"Martin Dúbravka,sk SVK,GK,29,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3a949a25"
"Matt Ritchie,sct SCO,DFMF,28,32.5,2,39,8,20.5,1.20,0.25,0.03,0.13,19.2,0,1,2,5.1,3.6,0.09,-3.1,-2.6,Matches,71ef519e"
"Ayoze Pérez,es ESP,MFFW,25,32.4,12,55,27,49.1,1.70,0.83,0.22,0.44,13.9,0,0,0,7.5,7.5,0.14,+4.5,+4.5,Matches,819aa8e7"
"Jamaal Lascelles,eng ENG,DF,24,30.5,0,11,1,9.1,0.36,0.03,0.00,0.00,11.2,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,450ab6fc"
"Salomón Rondón,ve VEN,FW,28,28.9,11,89,27,30.3,3.08,0.93,0.12,0.41,15.8,9,0,0,10.4,10.4,0.12,+0.6,+0.6,Matches,b318a643"
"DeAndre Yedlin,us USA,DF,25,27.5,1,11,2,18.2,0.40,0.07,0.09,0.50,24.7,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches,ae0a7ddf"
"Mohamed Diamé,sn SEN,MF,31,24.1,0,20,3,15.0,0.83,0.12,0.00,0.00,23.5,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches,b7d082af"
"Fabian Schär,ch SUI,DF,26,22.2,4,25,7,28.0,1.13,0.32,0.16,0.57,18.7,1,0,0,1.9,1.9,0.07,+2.1,+2.1,Matches,c8aa95da"
"Paul Dummett,wls WAL,DF,26,22.1,0,9,1,11.1,0.41,0.05,0.00,0.00,22.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,3fe6bd8c"
"Isaac Hayden,eng ENG,MF,23,20.7,1,22,5,22.7,1.07,0.24,0.05,0.20,22.2,0,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches,c951a6df"
"Federico Fernández,ar ARG,DF,29,16.5,0,4,1,25.0,0.24,0.06,0.00,0.00,14.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,f25b010f"
"Christian Atsu,gh GHA,MF,26,16.6,1,28,14,50.0,1.69,0.84,0.04,0.07,19.6,0,0,0,2.1,2.1,0.08,-1.1,-1.1,Matches,8816329f"
"Kenedy,br BRA,MFDF,22,15.0,1,30,5,16.7,2.00,0.33,0.03,0.20,22.8,1,0,1,2.2,1.4,0.05,-1.2,-0.4,Matches,5eebbfdf"
"Ki Sung-yueng,kr KOR,MF,29,14.5,0,9,2,22.2,0.62,0.14,0.00,0.00,28.6,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,1d8c99b0"
"Javier Manquillo,es ESP,DF,24,12.2,0,2,1,50.0,0.16,0.08,0.00,0.00,19.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,758dd7f0"
"Florian Lejeune,fr FRA,DF,27,11.7,0,7,2,28.6,0.60,0.17,0.00,0.00,15.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,6eaed4eb"
"Jonjo Shelvey,eng ENG,MF,26,10.5,1,23,8,34.8,2.18,0.76,0.04,0.13,28.9,4,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches,3727dd3c"
"Ciaran Clark,ie IRL,DF,28,9.5,3,7,3,42.9,0.73,0.31,0.43,1.00,11.5,0,0,0,0.5,0.5,0.07,+2.5,+2.5,Matches,2b91cf8e"
"Miguel Almirón,py PAR,MF,24,8.4,0,19,8,42.1,2.25,0.95,0.00,0.00,20.1,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Matches,862a1c15"
"Sean Longstaff,eng ENG,MF,20,7.6,1,8,2,25.0,1.05,0.26,0.13,0.50,23.6,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches,a2b105e0"
"Joselu,es ESP,FW,28,6.6,2,17,5,29.4,2.57,0.76,0.12,0.40,13.8,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches,6265208f"
"Yoshinori Mutō,jp JPN,FWMF,26,5.8,1,6,3,50.0,1.03,0.52,0.17,0.33,10.8,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches,5343eb4e"
"Jacob Murphy,eng ENG,MFDF,23,3.4,0,2,1,50.0,0.60,0.30,0.00,0.00,30.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,de112b84"
"Antonio Barreca,it ITA,DF,23,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6a189491"
"Squad Total,,,26.9,38.0,41,443,136,30.7,11.66,3.58,0.09,0.29,18.8,16,1,3,39.1,36.7,0.09,+1.9,+3.3,,-9999"
