"Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999"
"Emiliano Martínez,ar ARG,GK,27,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7956236f"
"Matt Targett,eng ENG,DF,24,37.8,0,6,2,33.3,0.16,0.05,0.00,0.00,21.8,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,e514ab62"
"John McGinn,sct SCO,MF,25,37.0,3,45,11,24.4,1.22,0.30,0.07,0.27,23.7,0,0,0,2.5,2.5,0.06,+0.5,+0.5,Matches,90f91999"
"Ollie Watkins,eng ENG,FW,24,37.0,14,95,43,45.3,2.57,1.16,0.14,0.30,13.7,0,1,2,14.5,13.0,0.14,-0.5,0.0,Matches,aed3a70f"
"Tyrone Mings,eng ENG,DF,27,35.5,2,19,7,36.8,0.54,0.20,0.11,0.29,9.9,0,0,0,1.9,1.9,0.10,+0.1,+0.1,Matches,8397a50c"
"Ezri Konsa,eng ENG,DF,22,35.5,2,22,7,31.8,0.62,0.20,0.09,0.29,9.7,0,0,0,2.4,2.4,0.11,-0.4,-0.4,Matches,0313a347"
"Douglas Luiz,br BRA,MF,22,30.9,0,26,8,30.8,0.84,0.26,0.00,0.00,23.9,1,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches,6f7d826d"
"Bertrand Traoré,bf BFA,FW,24,25.7,7,64,23,35.9,2.49,0.89,0.11,0.30,16.7,2,0,0,6.6,6.6,0.10,+0.4,+0.4,Matches,c47541e0"
"Matty Cash,pl POL,DF,22,26.4,0,9,2,22.2,0.34,0.08,0.00,0.00,22.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,2389cdc2"
"Jack Grealish,eng ENG,FWMF,24,24.3,6,50,17,34.0,2.06,0.70,0.12,0.35,17.0,2,0,0,4.6,4.6,0.09,+1.4,+1.4,Matches,b0b4fd3e"
"Ross Barkley,eng ENG,MF,26,17.0,3,38,11,28.9,2.23,0.65,0.08,0.27,18.7,2,0,0,3.1,3.1,0.08,-0.1,-0.1,Matches,3a24769f"
"Anwar El Ghazi,nl NED,FW,25,17.9,10,60,26,43.3,3.35,1.45,0.10,0.23,21.7,6,4,4,8.4,5.3,0.09,+1.6,+0.7,Matches,ffa90327"
"Trézéguet,eg EGY,FW,25,13.0,2,35,12,34.3,2.70,0.93,0.06,0.17,14.2,0,0,0,3.8,3.8,0.11,-1.8,-1.8,Matches,3ae14ed1"
"Marvelous Nakamba,zw ZIM,MF,26,8.3,0,2,1,50.0,0.24,0.12,0.00,0.00,28.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,de5b5570"
"Ahmed Elmohamady,eg EGY,DF,32,9.3,0,9,1,11.1,0.97,0.11,0.00,0.00,11.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,615ef733"
"Kortney Hause,eng ENG,DF,25,7.0,1,5,1,20.0,0.71,0.14,0.20,1.00,7.9,0,0,0,1.0,1.0,0.21,0.0,0.0,Matches,bf8fad51"
"Jacob Ramsey,eng ENG,MF,19,7.0,0,11,1,9.1,1.58,0.14,0.00,0.00,18.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,1544f145"
"Morgan Sanson,fr FRA,MF,25,3.3,0,2,0,0.0,0.61,0.00,0.00,,29.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,6e7f1353"
"Conor Hourihane,ie IRL,MF,29,2.5,1,5,2,40.0,2.00,0.80,0.20,0.50,22.7,2,0,0,0.7,0.7,0.13,+0.3,+0.3,Matches,fcab00a0"
"Keinan Davis,eng ENG,FWMF,22,3.1,1,9,2,22.2,2.92,0.65,0.11,0.50,10.6,0,0,0,1.5,1.5,0.16,-0.5,-0.5,Matches,9deaf2c8"
"Carney Chukwuemeka,eng ENG,MFFW,16,0.2,0,1,0,0.0,4.50,0.00,0.00,,23.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,b2f9c73e"
"Wesley Moraes,br BRA,FW,23,0.2,0,1,1,100.0,5.00,5.00,0.00,0.00,12.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,bfae110f"
"Neil Taylor,wls WAL,DF,31,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c2f9d19f"
"Jaden Philogene Bidace,eng ENG,FW,18,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,19f4d211"
"Squad Total,,,25.2,38.0,52,514,178,34.6,13.53,4.68,0.09,0.26,17.3,16,5,6,52.5,47.9,0.10,-0.5,-0.9,,-9999"
