"Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999"
"Jack Grealish,eng ENG,FWMF,23,35.9,29,19,12,12,5,13,34,38.2,21,33,12,21,22,51,22,1,Matches,b0b4fd3e"
"Tyrone Mings,eng ENG,DF,26,32.2,15,11,11,3,1,10,13,76.9,3,56,48,8,30,45,190,4,Matches,8397a50c"
"Douglas Luiz,br BRA,MF,21,29.0,46,24,25,17,4,19,65,29.2,46,42,15,27,36,82,54,1,Matches,6f7d826d"
"John McGinn,sct SCO,MF,24,25.7,53,35,19,23,11,18,62,29.0,44,25,1,24,25,78,18,0,Matches,90f91999"
"Matt Targett,eng ENG,DFMF,23,25.5,52,29,37,11,4,22,53,41.5,31,28,8,20,56,108,82,0,Matches,e514ab62"
"Anwar El Ghazi,nl NED,FWMF,24,22.8,20,11,12,5,3,8,26,30.8,18,10,1,9,13,33,16,1,Matches,ffa90327"
"Ezri Konsa,eng ENG,DF,21,22.7,18,9,12,6,0,7,16,43.8,9,34,24,10,25,43,70,2,Matches,0313a347"
"Frederic Guilbert,fr FRA,DFMF,24,22.7,74,43,48,20,6,36,67,53.7,31,33,10,23,49,123,74,2,Matches,5d8d7454"
"Wesley Moraes,br BRA,FW,22,19.8,15,8,3,8,4,0,5,0.0,5,10,2,8,4,19,23,0,Matches,bfae110f"
"Trézéguet,eg EGY,FWMF,24,21.7,38,16,18,15,5,9,44,20.5,35,23,2,21,25,63,18,0,Matches,3ae14ed1"
"Tom Heaton,eng ENG,GK,33,19.9,3,2,3,0,0,3,4,75.0,1,0,0,0,0,3,6,0,Matches,a6de6361"
"Marvelous Nakamba,zw ZIM,MF,25,20.4,55,28,28,20,7,24,67,35.8,43,50,11,39,39,94,38,3,Matches,de5b5570"
"Conor Hourihane,ie IRL,MF,28,17.0,16,10,4,8,4,10,25,40.0,15,19,4,15,9,25,31,0,Matches,fcab00a0"
"Kortney Hause,eng ENG,DF,24,17.2,21,9,15,5,1,8,15,53.3,7,27,19,8,20,41,98,4,Matches,bf8fad51"
"Björn Engels,be BEL,DF,24,16.1,11,6,8,2,1,8,13,61.5,5,18,17,1,28,39,86,3,Matches,4fdf1fd9"
"Pepe Reina,es ESP,GK,36,12.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,1,Matches,e358587b"
"Neil Taylor,wls WAL,DF,30,12.1,16,11,12,4,0,11,20,55.0,9,15,5,10,20,36,43,0,Matches,c2f9d19f"
"Ahmed Elmohamady,eg EGY,DF,31,11.5,19,9,10,7,2,10,21,47.6,11,11,5,6,13,32,25,1,Matches,615ef733"
"Mbwana Samatta,tz TAN,FW,26,10.5,6,4,0,3,3,1,8,12.5,7,7,0,7,1,7,6,0,Matches,dae8623e"
"Ørjan Nyland,no NOR,GK,28,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches,bdedffac"
"Keinan Davis,eng ENG,FW,21,6.1,1,1,0,1,0,0,3,0.0,3,4,0,4,0,1,3,0,Matches,9deaf2c8"
"Jota,es ESP,FWMF,28,3.7,3,1,2,0,1,2,5,40.0,3,1,0,1,3,6,6,0,Matches,9f351459"
"Danny Drinkwater,eng ENG,MF,29,2.9,5,3,3,2,0,2,18,11.1,16,5,0,5,5,10,5,1,Matches,2649ff32"
"Henri Lansbury,eng ENG,MF,28,2.2,6,2,3,1,2,2,8,25.0,6,4,0,4,0,6,3,0,Matches,fe8e6fa1"
"Jed Steer,eng ENG,GK,26,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,a8a3d139"
"Jonathan Kodjia,ci CIV,FW,29,1.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches,ecf44e09"
"Indiana Vassilev,us USA,FWMF,18,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,04e195ee"
"Borja Bastón,es ESP,MFFW,26,0.2,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,0,1,Matches,8c44e37b"
"Squad Total,,,25.7,38.0,523,291,285,174,64,223,597,37.4,374,456,184,272,423,946,928,26,,-9999"
