Player,Nation,Pos,Age,90s,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses
Conor Coady,eng ENG,DF,26,38.0,1573,1853,84.9,38135,17275,329,357,92.2,848,912,93.0,383,552,69.4,0,0.5,0.6,-0.5,5,112,7,0,56
Rui PatrÃ­cio,pt POR,GK,31,38.0,567,864,65.6,20538,16475,41,43,95.3,191,192,99.5,334,623,53.6,0,0.0,0.0,0.0,0,4,0,0,0
RaÃºl JimÃ©nez,mx MEX,FW,28,36.0,730,1031,70.8,10233,2468,420,515,81.6,169,234,72.2,67,109,61.5,6,7.0,5.1,-1.0,48,67,25,3,69
RÃºben Neves,pt POR,MF,22,34.0,1635,2070,79.0,34616,9325,523,618,84.6,752,878,85.6,324,487,66.5,2,2.2,1.6,-0.2,29,194,23,6,141
JoÃ£o Moutinho,pt POR,MF,32,34.5,1647,2071,79.5,32707,8779,584,665,87.8,729,850,85.8,274,436,62.8,6,7.9,6.0,-1.9,77,155,29,11,145
Jonny Castro,es ESP,MFDF,25,32.1,1177,1451,81.1,15340,5071,731,810,90.2,333,426,78.2,38,68,55.9,2,1.3,1.3,+0.7,23,47,16,6,63
Matt Doherty,ie IRL,MFDF,27,31.5,1392,1854,75.1,20176,8073,817,961,85.0,428,597,71.7,83,148,56.1,3,2.2,2.1,+0.8,21,83,24,7,129
Leander Dendoncker,be BEL,MFDF,24,31.1,1108,1339,82.7,19473,4802,461,552,83.5,501,568,88.2,104,124,83.9,0,0.7,0.5,-0.7,9,46,3,1,48
Romain SaÃ¯ss,ma MAR,DF,29,30.1,1285,1649,77.9,25611,9820,439,505,86.9,655,774,84.6,171,313,54.6,1,1.3,0.4,-0.3,12,113,6,1,97
Adama TraorÃ©,es ESP,FWDF,23,28.9,614,952,64.5,9406,2530,335,425,78.8,202,311,65.0,41,97,42.3,9,6.6,6.5,+2.4,48,55,41,28,61
Diogo Jota,pt POR,FW,22,25.4,682,886,77.0,9768,1810,377,444,84.9,212,262,80.9,39,54,72.2,1,2.7,1.9,-1.7,29,41,20,4,53
Willy Boly,ci CIV,DF,28,22.0,798,991,80.5,13716,5643,358,394,90.9,370,425,87.1,54,126,42.9,1,1.1,0.5,-0.1,7,39,3,0,40
Pedro Neto,pt POR,FWMF,19,10.4,303,400,75.8,4375,773,168,198,84.8,86,111,77.5,20,36,55.6,3,2.6,1.7,+0.4,14,9,7,4,17
Ryan Bennett,eng ENG,DF,29,6.7,182,245,74.3,3384,1337,71,78,91.0,83,104,79.8,20,51,39.2,0,0.1,0.3,-0.1,2,17,2,1,13
RÃºben Vinagre,pt POR,MFDF,20,7.2,255,342,74.6,3595,1129,168,191,88.0,72,98,73.5,11,26,42.3,0,0.6,0.6,-0.6,4,11,8,8,2
Patrick Cutrone,it ITA,FW,21,3.3,42,65,64.6,474,79,24,33,72.7,11,17,64.7,0,5,0.0,0,0.3,0.4,-0.3,2,2,1,1,1
Daniel Podence,pt POR,FWMF,23,3.2,70,101,69.3,954,172,34,42,81.0,23,35,65.7,3,8,37.5,0,0.7,0.2,-0.7,5,6,4,1,4
Max Kilman,eng ENG,DF,22,2.1,78,102,76.5,1275,537,33,36,91.7,42,51,82.4,2,8,25.0,0,0.0,0.0,0.0,0,4,0,0,9
JesÃºs Vallejo,es ESP,DF,22,1.8,92,119,77.3,1813,669,33,36,91.7,41,47,87.2,15,31,48.4,0,0.0,0.0,0.0,0,7,1,1,5
Morgan Gibbs-White,eng ENG,MFFW,19,1.4,64,83,77.1,962,230,32,37,86.5,26,33,78.8,2,6,33.3,0,0.1,0.1,-0.1,3,3,2,0,5
Bruno JordÃ£o,pt POR,FW,20,0.1,4,6,66.7,77,34,1,2,50.0,3,3,100.0,0,0,,0,0.1,0.2,-0.1,1,0,1,0,1
Squad Total,,,26.6,38.0,14298,18474,77.4,266628,97031,5979,6942,86.1,5777,6928,83.4,1985,3308,60.0,34,37.5,30.0,-3.5,339,1015,223,83,959
