Player,Nation,Pos,Age,90s,Tkl,TklWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Interceptions,Tkl+Int,Clearances,Errors
Conor Coady,eng ENG,DF,26,38.0,36,23,30,6,0,15,30,50.0,15,22,15,7,28,64,119,2
Rui PatrÃ­cio,pt POR,GK,31,38.0,0,0,0,0,0,0,2,0.0,2,2,0,2,2,2,5,2
RaÃºl JimÃ©nez,mx MEX,FW,28,36.0,20,12,6,10,4,3,31,9.7,28,26,0,26,16,36,34,1
RÃºben Neves,pt POR,MF,22,34.0,62,33,27,32,3,34,86,39.5,52,38,9,29,56,118,34,1
JoÃ£o Moutinho,pt POR,MF,32,34.5,93,50,43,41,9,46,139,33.1,93,43,13,30,50,143,18,1
Jonny Castro,es ESP,MFDF,25,32.1,91,55,54,26,11,29,82,35.4,53,45,10,35,53,144,45,2
Matt Doherty,ie IRL,MFDF,27,31.5,55,29,34,17,4,27,41,65.9,14,34,4,30,40,95,52,1
Leander Dendoncker,be BEL,MFDF,24,31.1,68,31,41,19,8,28,67,41.8,39,39,12,27,38,106,64,2
Romain SaÃ¯ss,ma MAR,DF,29,30.1,55,38,37,15,3,32,46,69.6,14,31,16,15,55,110,127,3
Adama TraorÃ©,es ESP,FWDF,23,28.9,33,21,6,14,13,8,23,34.8,15,19,3,16,13,46,14,2
Diogo Jota,pt POR,FW,22,25.4,28,15,16,10,2,12,48,25.0,36,17,0,17,9,37,10,2
Willy Boly,ci CIV,DF,28,22.0,57,33,36,21,0,25,43,58.1,18,28,11,17,39,96,108,3
Pedro Neto,pt POR,FWMF,19,10.4,9,4,3,6,0,4,15,26.7,11,2,0,2,6,15,4,0
Ryan Bennett,eng ENG,DF,29,6.7,4,2,4,0,0,2,6,33.3,4,14,8,6,9,13,29,0
RÃºben Vinagre,pt POR,MFDF,20,7.2,23,13,15,6,2,12,15,80.0,3,7,2,5,11,34,22,0
Patrick Cutrone,it ITA,FW,21,3.3,4,2,2,1,1,1,5,20.0,4,1,1,0,2,6,1,0
Daniel Podence,pt POR,FWMF,23,3.2,3,3,2,0,1,0,2,0.0,2,4,1,3,2,5,1,0
Max Kilman,eng ENG,DF,22,2.1,4,2,1,3,0,2,2,100.0,0,1,1,0,4,8,7,0
JesÃºs Vallejo,es ESP,DF,22,1.8,1,1,1,0,0,1,2,50.0,1,4,3,1,2,3,8,1
Morgan Gibbs-White,eng ENG,MFFW,19,1.4,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
Bruno JordÃ£o,pt POR,FW,20,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Squad Total,,,26.6,38.0,646,367,358,227,61,281,685,41.0,404,378,109,269,437,1083,702,23
